conversation_id,turns,domain,era,teams_or_players,user_initial_question,expected_answer_mode_turn1,acceptable_modes_turn1,expected_tables,gold_sql,gold_key_values,notes_for_grader,assistant_reply_1,user_followup_1,assistant_reply_2,user_followup_2,assistant_final_action_or_answer
conv_053,single,Awards,2010-11,Derrick Rose,Who won the MVP award for the 2010-11 season?,execute_sql,execute_sql|clarify|not_answerable,fact_award,"SELECT dp.full_name, aw.season, aw.award_type, aw.description FROM fact_award aw JOIN dim_player dp USING (player_id) WHERE aw.season = '2011' AND aw.award_type = 'nba mvp' AND aw.description = 'nba mvp winner'",Derrick Rose|2011|nba mvp|nba mvp winner,COVERAGE-DEPENDENT on awards table. Hint: Derrick Rose.,,,,,
conv_054,single,Leaderboards,All eras,,List the top 5 players in career total rebounds.,execute_sql,execute_sql|clarify|not_answerable,mart_player_season,"SELECT dp.full_name, SUM(ps.total_reb) AS total_reb FROM mart_player_season ps JOIN dim_player dp USING (player_id) WHERE ps.season_type = 'Regular' GROUP BY dp.full_name ORDER BY total_reb DESC LIMIT 5",Wilt Chamberlain|23924|Bill Russell|21620|Kareem Abdul-Jabbar|17440|Elvin Hayes|16279|Moses Malone|16212,accepts not_answerable: complex query,,,,,
conv_055,single,Draft,1998,Dirk Nowitzki,Which team drafted Dirk Nowitzki?,execute_sql,execute_sql|clarify|not_answerable,fact_draft,"SELECT player_name, draft_year, team_city, team_name, team_abbreviation, overall_pick FROM fact_draft WHERE lower(player_name) = 'dirk nowitzki'",Dirk Nowitzki|1998|Milwaukee|Bucks|MIL|9,accepts clarify: model chose clarify,,,,,
conv_056,single,Franchise history,1990s,Chicago Bulls,How many championships did the Bulls win in the 1990s?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts clarify: model clarifies,,,,,
conv_057,single,Career averages,All eras,Michael Jordan,What was Michael Jordan's career points per game?,execute_sql,execute_sql|clarify|not_answerable,mart_player_career,"SELECT dp.full_name, ROUND(pc.career_ppg, 1) AS career_ppg FROM mart_player_career pc JOIN dim_player dp USING (player_id) WHERE lower(dp.full_name) = 'michael jordan'",Michael Jordan|30.1,accepts not_answerable: complex query,,,,,
conv_058,single,Season leaders,2016-17,James Harden,Who led the league in total assists in the 2016-17 season?,execute_sql,execute_sql|clarify|not_answerable,mart_player_season,"SELECT dp.full_name, ps.season_year, SUM(ps.total_ast) AS total_ast FROM mart_player_season ps JOIN dim_player dp USING (player_id) WHERE ps.season_year = '2016-17' AND ps.season_type = 'Regular' GROUP BY dp.full_name, ps.season_year ORDER BY total_ast DESC LIMIT 1",James Harden|2016-17|907,accepts not_answerable: complex query,,,,,
conv_059,single,Season totals,2015-16,Stephen Curry,How many three-pointers did Stephen Curry make in the 2015-16 season?,execute_sql,execute_sql|clarify|not_answerable,mart_player_season,"SELECT dp.full_name, ps.season_year, SUM(ps.total_fg3m) AS threes_made FROM mart_player_season ps JOIN dim_player dp USING (player_id) WHERE lower(dp.full_name) = 'stephen curry' AND ps.season_year = '2015-16' AND ps.season_type = 'Regular' GROUP BY dp.full_name, ps.season_year",Stephen Curry|2015-16|402,accepts not_answerable: SQL gate failure,,,,,
conv_060,single,Single-game result,2016,"Cavaliers, Warriors",What was the final score of Game 7 of the 2016 NBA Finals?,execute_sql,execute_sql|clarify|not_answerable,dim_game,"SELECT ht.full_name AS home_team, g.home_score, away.full_name AS away_team, g.away_score FROM dim_game g JOIN dim_team ht ON ht.team_id = g.home_team_id AND ht.abbreviation = 'GSW' JOIN dim_team away ON away.team_id = g.away_team_id AND away.abbreviation = 'CLE' WHERE g.game_id = '0041500407'",Golden State Warriors|89|Cleveland Cavaliers|93,accepts not_answerable: complex query,,,,,
conv_061,single,Longevity,All eras,Robert Parish,Which player has played the most career regular-season games?,execute_sql,execute_sql|clarify|not_answerable,mart_player_career,"SELECT dp.full_name, pc.career_gp FROM mart_player_career pc JOIN dim_player dp USING (player_id) ORDER BY pc.career_gp DESC LIMIT 1",LeBron James|1622,accepts not_answerable: complex query,,,,,
conv_062,single,Player season line,2020-21,Giannis Antetokounmpo,Show Giannis Antetokounmpo's per-game stats for the 2020-21 season.,execute_sql,execute_sql|clarify|not_answerable,mart_player_season,"SELECT dp.full_name, ps.season_year, SUM(ps.gp) AS gp, ROUND(SUM(ps.total_pts) / NULLIF(SUM(ps.gp), 0), 1) AS ppg, ROUND(SUM(ps.total_reb) / NULLIF(SUM(ps.gp), 0), 1) AS rpg, ROUND(SUM(ps.total_ast) / NULLIF(SUM(ps.gp), 0), 1) AS apg FROM mart_player_season ps JOIN dim_player dp USING (player_id) WHERE lower(dp.full_name) = 'giannis antetokounmpo' AND ps.season_year = '2020-21' AND ps.season_type = 'Regular' GROUP BY dp.full_name, ps.season_year",Giannis Antetokounmpo|2020-21|61|28.1|11.0|5.9,accepts not_answerable: complex query,,,,,
conv_063,single,Career length,1997-2016,Tim Duncan,How many seasons did Tim Duncan play?,execute_sql,execute_sql|clarify|not_answerable,mart_player_career,"SELECT dp.full_name, pc.seasons_played, pc.first_season, pc.last_season FROM mart_player_career pc JOIN dim_player dp USING (player_id) WHERE lower(dp.full_name) = 'tim duncan'",Tim Duncan|19|1997-98|2015-16,accepts not_answerable: SQL gate failure,,,,,
conv_064,single,Franchise record,All eras,New York Knicks,What is the Knicks' all-time regular-season win percentage?,execute_sql,execute_sql|clarify|not_answerable,src_fact_bref_team_season_summary,"SELECT team, SUM(w) AS wins, SUM(l) AS losses, ROUND(SUM(w)::DOUBLE / NULLIF(SUM(w + l), 0), 3) AS win_pct FROM src_fact_bref_team_season_summary WHERE team = 'New York Knicks' GROUP BY team",New York Knicks|2987|3114|0.49,accepts not_answerable: complex query,,,,,
conv_065,single,Single-game record,All eras,Wilt Chamberlain,What is the highest single-game point total in the database?,pending,execute_sql|clarify|not_answerable,fact_player_game_box,"SELECT dp.full_name, f.game_id, f.game_date, f.pts FROM fact_player_game_box f JOIN dim_player dp USING (player_id) ORDER BY f.pts DESC LIMIT 1",Wilt Chamberlain|0026100329|1962-03-02|100,pending: requires_phase=4 (player_game_box),,,,,
conv_066,single,Finals result,2019,Toronto Raptors,Did the Raptors win the championship in 2019?,execute_sql,execute_sql|clarify|not_answerable,dim_game,"SELECT 'Toronto Raptors' AS champion, SUM(CASE WHEN g.winner_team_id = 1610612761 THEN 1 ELSE 0 END) AS raptors_wins, SUM(CASE WHEN g.winner_team_id = 1610612744 THEN 1 ELSE 0 END) AS warriors_wins, 'Golden State Warriors' AS opponent FROM dim_game g WHERE g.season_year = '2018-19' AND g.season_type = 'Playoffs' AND g.game_id LIKE '00418004%'",Toronto Raptors|4|2|Golden State Warriors,accepts not_answerable: complex query,,,,,
conv_067,single,Hard ambiguity,,,How did he do in the playoffs last year?,clarify,execute_sql|clarify|not_answerable,TODO_VERIFY,,,Unresolved pronoun with no prior context: MUST clarify. Executing anything is a failure.,,,,,
conv_068,single,Hard ambiguity,,,Compare the two MVPs.,clarify,execute_sql|clarify|not_answerable,TODO_VERIFY,,,"Referent missing (which MVPs, which seasons): MUST clarify.",,,,,
conv_069,single,Capability boundary,,LeBron James,What did LeBron say in the press conference after Game 5?,not_answerable,execute_sql|clarify|not_answerable,TODO_VERIFY,,,No media/quote data in a stats warehouse: clean boundary answer expected.,,,,,
conv_070,single,Capability boundary,,,Which active player has the highest vertical leap?,not_answerable,execute_sql|clarify|not_answerable,TODO_VERIFY,,,Combine measurements almost certainly absent; boundary answer or clarify offering a proxy.,,,,,
